model,domain,effect_size,mean_diff,std_dev,n_templates
BERT,general,1.6238868,0.027047342,0.016655928,28
BERT,medical,4.8865566,0.05824719,0.011919884,28
BERT,financial,0.60806125,0.025491199,0.04192209,28
BERT,legal,0.71347696,0.008347736,0.011700078,28
BioBERT,general,2.6170235,0.011360862,0.004341139,28
BioBERT,medical,3.2702153,0.014291925,0.0043703318,28
FinBERT,general,0.4221748,0.009302144,0.022033868,28
FinBERT,financial,0.8050643,0.02468148,0.030657776,28
LegalBERT,general,1.105994,0.014133364,0.012778879,28
LegalBERT,legal,1.0748644,0.010469788,0.009740566,28
